measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
6,incidence,1,global,3,all,22,all,545,Epilepsy,2,Percent,2021,8.89377645221e-05,0.0001128101209497,6.52089619763e-05
6,incidence,1,global,3,all,22,all,545,Epilepsy,3,Rate,2021,41.472400682229996,52.273907797220005,30.4612192
6,incidence,1,global,3,all,22,all,547,Migraine,1,Number,2015,84866057.1304634,95902710.59093198,74094659.65666705
6,incidence,1,global,3,all,22,all,547,Migraine,2,Percent,2015,0.0026030773462878,0.0029963025749057,0.0022578385528121
6,incidence,1,global,3,all,22,all,547,Migraine,3,Rate,2015,1147.39508264173,1296.61141644518,1001.76502850107
6,incidence,1,global,3,all,22,all,547,Migraine,1,Number,2016,85750507.07501999,96935000.00286028,74944075.43523666
6,incidence,1,global,3,all,22,all,547,Migraine,2,Percent,2016,0.0026046029731234,0.0029924633964144,0.0022607281116144
6,incidence,1,global,3,all,22,all,547,Migraine,3,Rate,2016,1145.38467911817,1294.7779279772901,1001.0412617047101
6,incidence,1,global,3,all,22,all,547,Migraine,1,Number,2017,86754958.72469784,98163642.28826216,75842634.9728558
6,incidence,1,global,3,all,22,all,547,Migraine,2,Percent,2017,0.0026118357329784,0.0029967865360063,0.0022684167434157
6,incidence,1,global,3,all,22,all,547,Migraine,3,Rate,2017,1145.1961188340701,1295.79477428914,1001.14958833283
6,incidence,1,global,3,all,22,all,547,Migraine,1,Number,2018,87765793.18220116,99353312.78920417,76743933.39891177
6,incidence,1,global,3,all,22,all,547,Migraine,2,Percent,2018,0.0026195975697068,0.0030043586278763,0.0022743532493289
6,incidence,1,global,3,all,22,all,547,Migraine,3,Rate,2018,1145.46440730685,1296.6974879586398,1001.61396596377
6,incidence,1,global,3,all,22,all,547,Migraine,1,Number,2019,88658108.71170291,100326955.2836532,77541899.0873838
6,incidence,1,global,3,all,22,all,547,Migraine,2,Percent,2019,0.0026223296218217,0.0030096337902405,0.002276141290001
6,incidence,1,global,3,all,22,all,547,Migraine,3,Rate,2019,1144.66557562933,1295.3221503330199,1001.14410113212
6,incidence,1,global,3,all,22,all,547,Migraine,1,Number,2020,89401807.15541123,101019141.1942499,78184330.77745678
6,incidence,1,global,3,all,22,all,547,Migraine,2,Percent,2020,0.002498140665181,0.0028641070342969,0.0021700480862968
6,incidence,1,global,3,all,22,all,547,Migraine,3,Rate,2020,1142.90016073967,1291.4145293281601,999.4975164
6,incidence,1,global,3,all,22,all,547,Migraine,1,Number,2021,90183386.870021,101838162.4804554,78857600.45503128
6,incidence,1,global,3,all,22,all,547,Migraine,2,Percent,2021,0.0024507604296208,0.0028070838410748,0.0021299359469582
6,incidence,1,global,3,all,22,all,547,Migraine,3,Rate,2021,1142.8126891945801,1290.50314438358,999.29121723198
6,incidence,1,global,3,all,22,all,570,Bipolar disorder,1,Number,2015,2391817.7577059,2856268.495034437,2005386.335572217
6,incidence,1,global,3,all,22,all,570,Bipolar disorder,2,Percent,2015,7.33532647788e-05,8.81295726927e-05,6.11822731192e-05
6,incidence,1,global,3,all,22,all,570,Bipolar disorder,3,Rate,2015,32.33754491,38.61695166,27.11296481
6,incidence,1,global,3,all,22,all,570,Bipolar disorder,1,Number,2016,2418822.050642864,2885814.318596581,2028220.332547984
6,incidence,1,global,3,all,22,all,570,Bipolar disorder,2,Percent,2016,7.34593951859e-05,8.81527591436e-05,6.1319557139e-05
6,incidence,1,global,3,all,22,all,570,Bipolar disorder,3,Rate,2016,32.30863365,38.54633191,27.09129746
6,incidence,1,global,3,all,22,all,570,Bipolar disorder,1,Number,2017,2447039.4591153064,2916999.0164663303,2053304.0503066983
6,incidence,1,global,3,all,22,all,570,Bipolar disorder,2,Percent,2017,7.36600248158e-05,8.83165235957e-05,6.14983411305e-05
6,incidence,1,global,3,all,22,all,570,Bipolar disorder,3,Rate,2017,32.301785770020004,38.50541803,27.104339207389998
6,incidence,1,global,3,all,22,all,570,Bipolar disorder,1,Number,2018,2476440.887024868,2949801.7946392344,2077727.472113246
